"No.","Time","Source","Destination","Protocol","Length","Info"
"30","7.998982","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"31","8.148977","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"32","8.996856","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"33","9.999334","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"34","10.105698","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"35","10.148625","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"36","10.997811","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"37","11.124639","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"38","11.455898","fe80::c53e:4f86:f1ea:5119","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"39","11.461055","fe80::c53e:4f86:f1ea:5119","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"40","11.461607","fe80::c53e:4f86:f1ea:5119","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"41","11.462076","fe80::c53e:4f86:f1ea:5119","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"42","11.462253","fe80::c53e:4f86:f1ea:5119","ff02::1:3","LLMNR","90","Standard query 0x41ce ANY CSRL-PC-07"
"43","11.462296","192.168.230.127","224.0.0.252","LLMNR","70","Standard query 0x41ce ANY CSRL-PC-07"
"44","11.578514","fe80::c53e:4f86:f1ea:5119","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"45","11.874873","192.168.230.127","224.0.0.252","LLMNR","70","Standard query 0x41ce ANY CSRL-PC-07"
"46","11.874894","fe80::c53e:4f86:f1ea:5119","ff02::1:3","LLMNR","90","Standard query 0x41ce ANY CSRL-PC-07"
"47","11.997894","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"48","12.053154","Cisco_eb:9c:98","CDP/VTP/DTP/PAgP/UDLD","CDP","506","Device ID: csrl-labsw-1.csrl.local  Port ID: GigabitEthernet1/0/24  "
"49","12.151216","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"50","12.164566","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"51","12.402405","192.168.230.151","192.168.230.255","UDP","86","57621  >  57621 Len=44"
"52","12.456063","fe80::c53e:4f86:f1ea:5119","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"53","12.459694","fe80::c53e:4f86:f1ea:5119","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"54","12.460599","fe80::c53e:4f86:f1ea:5119","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"55","12.461743","fe80::c53e:4f86:f1ea:5119","ff02::1:3","LLMNR","90","Standard query 0x08f3 ANY CSRL-PC-07"
"56","12.461750","192.168.230.127","224.0.0.252","LLMNR","70","Standard query 0x08f3 ANY CSRL-PC-07"
"57","12.461945","fe80::c53e:4f86:f1ea:5119","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"58","12.578743","fe80::c53e:4f86:f1ea:5119","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"59","12.874973","192.168.230.127","224.0.0.252","LLMNR","70","Standard query 0x08f3 ANY CSRL-PC-07"
"60","12.874992","fe80::c53e:4f86:f1ea:5119","ff02::1:3","LLMNR","90","Standard query 0x08f3 ANY CSRL-PC-07"
"61","12.998267","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"62","13.124444","Cisco_eb:9c:98","Cisco_eb:9c:98","LOOP","60","Reply"
"63","13.204724","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"64","13.239005","192.168.230.129","192.168.230.255","BROWSER","222","Become Backup Browser"
"65","13.998644","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"66","14.150597","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"67","14.244583","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"68","14.993555","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"69","15.284606","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"70","15.999258","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"71","16.153410","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"72","16.324928","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"73","16.998423","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"74","17.364586","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
